Freq.	V(out)/V(n002)
1.92752491319091e+000	(1.07141774224163e+002dB,-7.31159175590490e+000°)
1.93196831701690e+000	(1.07141449561762e+002dB,-7.32826370419630e+000°)
1.93642196394658e+000	(1.07141123425225e+002dB,-7.34497283330669e+000°)
1.94088587759275e+000	(1.07140795807969e+002dB,-7.36171922045766e+000°)
1.94536008162263e+000	(1.07140466703385e+002dB,-7.37850294299213e+000°)
1.94984459975802e+000	(1.07140136104833e+002dB,-7.39532407837421e+000°)
1.95433945577537e+000	(1.07139804005646e+002dB,-7.41218270418919e+000°)
1.95884467350596e+000	(1.07139470399129e+002dB,-7.42907889814336e+000°)
1.96336027683602e+000	(1.07139135278556e+002dB,-7.44601273806401e+000°)
1.96788628970682e+000	(1.07138798637173e+002dB,-7.46298430189924e+000°)
1.97242273611482e+000	(1.07138460468197e+002dB,-7.47999366771792e+000°)
1.97696964011183e+000	(1.07138120764817e+002dB,-7.49704091370954e+000°)
1.98152702580507e+000	(1.07137779520191e+002dB,-7.51412611818414e+000°)
1.98609491735734e+000	(1.07137436727449e+002dB,-7.53124935957221e+000°)
1.99067333898716e+000	(1.07137092379689e+002dB,-7.54841071642451e+000°)
1.99526231496885e+000	(1.07136746469983e+002dB,-7.56561026741202e+000°)
1.99986186963271e+000	(1.07136398991370e+002dB,-7.58284809132581e+000°)
2.00447202736513e+000	(1.07136049936860e+002dB,-7.60012426707690e+000°)
2.00909281260870e+000	(1.07135699299436e+002dB,-7.61743887369615e+000°)
2.01372424986236e+000	(1.07135347072045e+002dB,-7.63479199033414e+000°)
2.01836636368153e+000	(1.07134993247610e+002dB,-7.65218369626103e+000°)
2.02301917867824e+000	(1.07134637819019e+002dB,-7.66961407086641e+000°)
2.02768271952125e+000	(1.07134280779132e+002dB,-7.68708319365924e+000°)
2.03235701093619e+000	(1.07133922120778e+002dB,-7.70459114426762e+000°)
2.03704207770569e+000	(1.07133561836754e+002dB,-7.72213800243869e+000°)
2.04173794466950e+000	(1.07133199919829e+002dB,-7.73972384803854e+000°)
2.04644463672464e+000	(1.07132836362737e+002dB,-7.75734876105194e+000°)
2.05116217882553e+000	(1.07132471158185e+002dB,-7.77501282158233e+000°)
2.05589059598411e+000	(1.07132104298846e+002dB,-7.79271610985157e+000°)
2.06062991326997e+000	(1.07131735777363e+002dB,-7.81045870619982e+000°)
2.06538015581050e+000	(1.07131365586347e+002dB,-7.82824069108541e+000°)
2.07014134879101e+000	(1.07130993718378e+002dB,-7.84606214508460e+000°)
2.07491351745488e+000	(1.07130620166005e+002dB,-7.86392314889154e+000°)
2.07969668710366e+000	(1.07130244921742e+002dB,-7.88182378331798e+000°)
2.08449088309726e+000	(1.07129867978075e+002dB,-7.89976412929315e+000°)
2.08929613085401e+000	(1.07129489327455e+002dB,-7.91774426786363e+000°)
2.09411245585086e+000	(1.07129108962304e+002dB,-7.93576428019312e+000°)
2.09893988362349e+000	(1.07128726875008e+002dB,-7.95382424756226e+000°)
2.10377843976644e+000	(1.07128343057922e+002dB,-7.97192425136848e+000°)
2.10862814993326e+000	(1.07127957503371e+002dB,-7.99006437312579e+000°)
2.11348903983661e+000	(1.07127570203643e+002dB,-8.00824469446462e+000°)
2.11836113524847e+000	(1.07127181150997e+002dB,-8.02646529713161e+000°)
2.12324446200018e+000	(1.07126790337655e+002dB,-8.04472626298939e+000°)
2.12813904598268e+000	(1.07126397755811e+002dB,-8.06302767401642e+000°)
2.13304491314654e+000	(1.07126003397622e+002dB,-8.08136961230680e+000°)
2.13796208950220e+000	(1.07125607255212e+002dB,-8.09975216007001e+000°)
2.14289060112002e+000	(1.07125209320673e+002dB,-8.11817539963076e+000°)
2.14783047413050e+000	(1.07124809586064e+002dB,-8.13663941342874e+000°)
2.15278173472434e+000	(1.07124408043408e+002dB,-8.15514428401842e+000°)
2.15774440915263e+000	(1.07124004684694e+002dB,-8.17369009406883e+000°)
2.16271852372698e+000	(1.07123599501881e+002dB,-8.19227692636336e+000°)
2.16770410481966e+000	(1.07123192486890e+002dB,-8.21090486379950e+000°)
2.17270117886371e+000	(1.07122783631608e+002dB,-8.22957398938862e+000°)
2.17770977235312e+000	(1.07122372927890e+002dB,-8.24828438625576e+000°)
2.18272991184296e+000	(1.07121960367555e+002dB,-8.26703613763938e+000°)
2.18776162394952e+000	(1.07121545942388e+002dB,-8.28582932689111e+000°)
2.19280493535041e+000	(1.07121129644137e+002dB,-8.30466403747555e+000°)
2.19785987278479e+000	(1.07120711464519e+002dB,-8.32354035296996e+000°)
2.20292646305342e+000	(1.07120291395213e+002dB,-8.34245835706405e+000°)
2.20800473301886e+000	(1.07119869427864e+002dB,-8.36141813355975e+000°)
2.21309470960560e+000	(1.07119445554081e+002dB,-8.38041976637089e+000°)
2.21819641980018e+000	(1.07119019765440e+002dB,-8.39946333952300e+000°)
2.22330989065136e+000	(1.07118592053477e+002dB,-8.41854893715302e+000°)
2.22843514927026e+000	(1.07118162409696e+002dB,-8.43767664350901e+000°)
2.23357222283049e+000	(1.07117730825565e+002dB,-8.45684654294992e+000°)
2.23872113856830e+000	(1.07117297292514e+002dB,-8.47605871994531e+000°)
2.24388192378273e+000	(1.07116861801938e+002dB,-8.49531325907504e+000°)
2.24905460583574e+000	(1.07116424345197e+002dB,-8.51461024502899e+000°)
2.25423921215239e+000	(1.07115984913612e+002dB,-8.53394976260681e+000°)
2.25943577022094e+000	(1.07115543498470e+002dB,-8.55333189671759e+000°)
2.26464430759302e+000	(1.07115100091020e+002dB,-8.57275673237963e+000°)
2.26986485188378e+000	(1.07114654682474e+002dB,-8.59222435472002e+000°)
